Date;FlowCode;ProductCode;LocationCode;Volume
23/08/2013;6;1;7;25765
30/08/2013;6;1;7;25667
06/09/2013;6;1;7;25808
13/09/2013;6;1;7;25211
20/09/2013;6;1;7;25007
27/09/2013;6;1;7;23863
04/10/2013;6;1;7;22591
11/10/2013;6;1;7;21917
18/10/2013;6;1;7;21164
25/10/2013;6;1;7;20790
01/11/2013;6;1;7;18848
08/11/2013;6;1;7;18363
15/11/2013;6;1;7;17955
22/11/2013;6;1;7;17103
29/11/2013;6;1;7;18219
06/12/2013;6;1;7;19488
13/12/2013;6;1;7;19010
20/12/2013;6;1;7;17962
27/12/2013;6;1;7;18860
03/01/2014;6;1;7;19793
10/01/2014;6;1;7;18190
17/01/2014;6;1;7;17010
24/01/2014;6;1;7;15699
31/01/2014;6;1;7;13555
07/02/2014;6;1;7;12972
14/02/2014;6;1;7;13602
21/02/2014;6;1;7;13570
28/02/2014;6;1;7;13785
07/03/2014;6;1;7;14292
14/03/2014;6;1;7;14143
21/03/2014;6;1;7;14580
28/03/2014;6;1;7;13927
04/04/2014;6;1;7;16163
11/04/2014;6;1;7;16975
18/04/2014;6;1;7;16913
25/04/2014;6;1;7;17360
02/05/2014;6;1;7;17372
09/05/2014;6;1;7;16089
16/05/2014;6;1;7;16394
23/05/2014;6;1;7;17631
30/05/2014;6;1;7;17085
06/06/2014;6;1;7;18074
13/06/2014;6;1;7;18771
20/06/2014;6;1;7;19904
27/06/2014;6;1;7;19557
04/07/2014;6;1;7;20479
11/07/2014;6;1;7;20304
18/07/2014;6;1;7;22548
25/07/2014;6;1;7;23725
01/08/2014;6;1;7;23433
08/08/2014;6;1;7;22891
15/08/2014;6;1;7;22651
22/08/2014;6;1;7;22233
29/08/2014;6;1;7;22583
05/09/2014;6;1;7;22736
12/09/2014;6;1;7;22928
19/09/2014;6;1;7;23156
26/09/2014;6;1;7;23758
03/10/2014;6;1;7;23078
10/10/2014;6;1;7;22916
17/10/2014;6;1;7;24041
24/10/2014;6;1;7;21753
31/10/2014;6;1;7;22347
07/11/2014;6;1;7;22252
14/11/2014;6;1;7;21128
21/11/2014;6;1;7;19635
28/11/2014;6;1;7;20237
05/12/2014;6;1;7;20258
12/12/2014;6;1;7;19528
19/12/2014;6;1;7;18119
26/12/2014;6;1;7;18643
02/01/2015;6;1;7;18718
09/01/2015;6;1;7;19835
16/01/2015;6;1;7;18893
23/01/2015;6;1;7;18951
30/01/2015;6;1;7;20926
06/02/2015;6;1;7;20020
13/02/2015;6;1;7;18255
20/02/2015;6;1;7;16126
27/02/2015;6;1;7;13376
06/03/2015;6;1;7;14134
13/03/2015;6;1;7;13266
20/03/2015;6;1;7;13510
27/03/2015;6;1;7;12741
03/04/2015;6;1;7;13580
10/04/2015;6;1;7;15105
17/04/2015;6;1;7;15650
24/04/2015;6;1;7;16633
01/05/2015;6;1;7;18359
08/05/2015;6;1;7;19685
15/05/2015;6;1;7;20053
22/05/2015;6;1;7;20515
